,correlation,mean_ratio,std_ratio,q25_ratio,q50_ratio,q75_ratio,q90_ratio,q95_ratio,q99_ratio,rv_mean,pct_mean,rv_std,pct_std
ADAUSDT,0.6858586317508245,0.01295389136927464,0.009373171520334869,0.02372271509373897,0.01569848280738756,0.012420569013484775,0.010579141203246599,0.009954403035041401,0.008764191654779681,0.009192181258995602,0.7096077153154575,0.008062195755333186,0.8601353061599745
ALGOUSDT,0.6606973400064542,0.012952587201659512,0.008928435878856845,0.024026318736080538,0.015497772830588364,0.012322582927078904,0.010414152564388246,0.00954874578244901,0.008793287933195304,0.010707127500438738,0.8266400630035456,0.008521291155864258,0.9543990987316452
ATOMUSDT,0.6634087731309336,0.01285176164180377,0.008825513109551776,0.022820778538510434,0.015984482020387457,0.01256018258498418,0.010524463488210787,0.009682284223070063,0.008511846558537378,0.010362371445808783,0.8062996914059172,0.008506467012293299,0.9638495696172978
BANDUSDT,0.672870228675209,0.012576867383270627,0.00851321037093361,0.023354136189137103,0.015199055197807516,0.011774067417969545,0.010109599979964625,0.009383002704490035,0.00887282352462868,0.011722109572302613,0.9320373042889052,0.009314321773401094,1.094102150371227
BATUSDT,0.6794579727788752,0.01272167097421034,0.008559082641077052,0.023663182381948093,0.015434253639202497,0.011884889314849769,0.010229704750607882,0.009686318104415559,0.008916618434931033,0.00967755413399931,0.7607140723587229,0.007865647455710072,0.9189825341749802
BCHUSDT,0.6833519634593478,0.013017251587688714,0.009272804359052398,0.024248843135963878,0.01591056204280254,0.012568380431708706,0.01070729267769775,0.009814648169076458,0.008773812242892639,0.008393713252013007,0.6448145520941996,0.007936367828971334,0.855875689992705
BNBUSDT,0.6944360875898341,0.012821830604740457,0.009467830433176819,0.023707883231423955,0.01625173775455001,0.012467794471472176,0.01059122862751713,0.009915584645899462,0.009253197497334035,0.006991303195484442,0.5452656029396952,0.006894451302491376,0.728197589844036
BTCUSDT,0.6920990636630644,0.013166177310853793,0.008884355899791594,0.025352777384470445,0.017108952008878416,0.013030803463429837,0.010670112523127507,0.009578018573847115,0.00874137972449984,0.005476795081712942,0.4159745803512794,0.004666722366708036,0.5252741357218149
COMPUSDT,0.6575883552407489,0.012684762382792513,0.008136190924814409,0.02365282222978695,0.015548279437922861,0.011973507972839349,0.010154634935197455,0.009210353852978187,0.008235395316223144,0.01077000256355011,0.8490503990961733,0.007898657886103482,0.9708053755245002
DASHUSDT,0.6910754474217481,0.013032220365895145,0.008860132446489158,0.024302599141074906,0.015564406620555783,0.012231038104939595,0.010549228405389329,0.009755634436477437,0.008884819979277833,0.009235279810482007,0.7086497581525252,0.007657572288405739,0.8642728914780573
DOGEUSDT,0.7529973443005158,0.013169507176831012,0.009453808999062297,0.024171390391070854,0.01622577364498991,0.012918389808822758,0.011240761607937381,0.01083584855255563,0.010460479896721482,0.010200882694562756,0.7745834796695408,0.012295066194167996,1.3005409983835634
DOTUSDT,0.6776082352995327,0.012958829571078245,0.009558244827207716,0.023874548387576806,0.016102126536388074,0.01250169965734287,0.010501814474752971,0.009814756701911323,0.0089359228538936,0.009626229029274787,0.7428316713693637,0.008794921728315018,0.9201398255964437
EOSUSDT,0.7018763247933886,0.013860954691989653,0.009009414198144855,0.028655040510213215,0.017487539258125632,0.012729205260429446,0.010894172819184644,0.009954778224758435,0.009062111920097118,0.009332623190219665,0.673303058671208,0.007836151246990981,0.8697736694805903
ETCUSDT,0.7158923815614824,0.013018468984504606,0.00923099760765849,0.02389543534245938,0.016235387816970172,0.0128205990855075,0.010814406989363583,0.009887253333470932,0.008888940796615591,0.009178506448741946,0.7050373173425214,0.008646589923662747,0.9366907338908971
